SKU	Model	Desc1	Desc2	Brand	SupplierSKU	web_info_text	web_info_feature#1	web_info_feature#2	web_info_feature#3	web_info_feature#4	web_info_feature#5	web_info_feature#6	web_info_feature#7	PriceMSRP	PriceRetailInc	QtyBreak1	QtyPrice1	QtyBreak2	QtyPrice2	QtyBreak3	QtyPrice3	QOH	ETA	web_image#01	web_image#02	web_image#03	web_image#04	web_image#05	CategoryCode	web_category#1	web_category#2	web_category#3	web_category#4	web_cat_code#1	web_cat_code#2	web_cat_code#3	web_cat_code#4	OnSale	Rank	Weight	Barcode	ProductURL	ProductHTML
00161020	AP12	REPLACEMENT CAR MAST	AP2, 3, 4, 5, 6, 7, 8, 10, 10A	AERPRO	AP12456	Replacement mast to suit Aerpro automatic antennas.	5 section stainless steel mast	Extends to 97cm	Mast diameter 9mm	Retracted length 260mm	Sleeve diameter 10.5mm	Sleeve length 77mm	Also Suits Ford Falcon XA-XF, EA-EL & AU	0.0000	25.2010	1	20.0000	2.0000	19.0000	3.0000	18.0000	0.0000		http://www.radioparts.com.au/Images/ProductImages/00161020.jpg					EE2050	COMMUNICATIONS	MOBILE / CAR ANTENNAS	ACCESSORIES	ACCESSORIES	EE	EE20	EE2050	EE2050		0.0000	0.1540	9317114868701	http://www.radioparts.com.au/product/00161020/-	Aerpro AP12 replacement mast  <ul>   <li>Replacement mast to suit Aerpro automatic antennas</li>   <li>5 section stainless steel mast</li>  <li>Extends to 97cm</li>   <li>Mast Diameter: 9mm</li>   <li>Retracted Length: 260mm</li>  <li>Sleeve Diameter: 10.5mm</li>  <li>Sleeve Length: 77mm</li> </ul>  To suit models:<br>  AP2, AP3, AP4, AP5, AP6, AP7, AP8, AP10, AP10A, AP11,?<br> AP176, AP178, AP180, AP190, AP197 &amp; APVT1F,<br> Also Suits Ford Falcon XA-XF, EA-EL &amp; AU?
00162053	AP62	UNIVERSAL 5 SECTION CAR AERIAL	LOCKDOWN SIDE KEY AERPRO	AERPRO	AP62	Universal 5 section lockdown, side key car antenna.	Adjustable 0-30? headkit for 25mm hole	Cable 120cm	Under fender: 270mm	Supplied with installation instructions	Side Key Lock			0.0000	13.7500	1	9.4000	2.0000	8.5500	3.0000	8.2500	1.0000		http://www.radioparts.com.au/Images/ProductImages/00162053.jpg					EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0.0000	0.1890	9317114864789	http://www.radioparts.com.au/product/00162053/-	<b>Universal 5 section lockdown, side key car antenna</b> <ul>  <li>Adjustable 0-30&deg; headkit for 25mm hole</li> <li>5 section stainless steel mast</li> <li>Extends to 100cm</li>  <li>Cable Length: 120cm</li>  <li>Under fender: 270mm</li>  <li>Packed in hang sell, full colour blister</li> <li>Supplied with installation instructions</li> <li>Side Key Lock</li>  <li>12 Month Warranty</li>  </ul>
00162813	AP70	GUARD MOUNT LOCKDOWN AERIAL	SUITS VN-VS COMMODORE AERPRO	AERPRO	AP70	Guard Mount, Lockdown Car Antenna.	Suits Holden Commodore VN-VS 08/1988-08/1997	Top key lockdown with custom headkit	5 section stainless steel mast	Extends to 97cm	Cable 42cm	Packed in hang sell, full colour blister	Supplied with installation instructions	0.0000	22.0000	1	17.3000	2.0000	16.5000	3.0000	15.6000	0.0000		http://www.radioparts.com.au/Images/ProductImages/00162813.jpg					EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO		EE	EE20	EE2030			0.0000	0.0000	9317114864833	http://www.radioparts.com.au/product/00162813/-	<b>Guard mount, lockdown car antenna</b> <ul>  <li>Suits Holden Commodore VN-VS 08/1988-08/1997</li> <li>Top key lockdown with custom headkit</li> <li>5 section stainless steel mast</li> <li>Extends to 97cm</li>  <li>Cable Length: 42cm</li>  <li>Packed in hang sell, full colour blister</li> <li>Supplied with installation instructions</li> <li>12 Month Warranty</li>  </ul>
00162820	AP71	GUARD MOUNT LOCKDOWN AERIAL	SUITS VT-VY COMMODORE AERPRO	AERPRO	AP71	Guard Mount, Lockdown Car Antenna.	Suits Holden Commodore VT-VY (10/1997-07/2004)	Top key lockdown	5 section stainless steel mast	Extends to 98cm	Cable Length 43cm	Packed in hang sell, full colour blister	12 Month Warranty	0.0000	29.0000	1	22.0900	2.0000	19.8800	3.0000	19.2500	4.0000		http://www.radioparts.com.au/Images/ProductImages/00162820.jpg					EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO		EE	EE20	EE2030			0.0000	0.2020	9317114871176	http://www.radioparts.com.au/product/00162820/-	<b>Guard mount, lockdown car antenna</b> <ul>  <li>Suits Holden Commodore VT-VY (10/1997-07/2004)</li> <li>Top key lockdown</li>  <li>5 section stainless steel mast</li> <li>Extends to 98cm</li>  <li>Cable Length: 43cm</li>  <li>Packed in hang sell, full colour blister</li> <li>12 Month Warranty</li>  </ul>
00163200	AP40	UNIVERSAL TOPSIDE MOUNT AERIAL	SPRING BALL CAR BASE AERPRO	AERPRO	AP40	Universal top/side mount, spring ball base car antenna.	Adjustable split ball base for 25mm hole	Spring to protect from overhead damage	Spring ball base 180? adjustable	3 section stainless steel mast	Extends to 100cm	Collapsed Length: 541mm	Cable Length: 137cm	0.0000	15.3010	1	10.5000	2.0000	9.6000	3.0000	9.2000	1.0000		http://www.radioparts.com.au/Images/ProductImages/00163200.jpg					EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0.0000	0.3320	9317114864840	http://www.radioparts.com.au/product/00163200/-	<b>Universal top/side mount, spring ball base car antenna</b>  <ul>  <li>Adjustable split ball base for 25mm hole</li> <li>Spring to protect from overhead damage</li> <li>Spring Ball Base 180&#176 adjustable</li> <li>3 section stainless steel mast</li> <li>Extends to 100cm</li>  <li>Collapsed Length: 541mm</li> <li>Cable Length: 137cm</li>  <li>Packed in hang sell, full colour blister</li> <li>12 Month Warranty</li>  </ul>
00163621	AP102	UNIVERSAL RUBBER DUCKY AERIAL	FM  ANTENNA AERPRO	AERPRO	AP102	Universal "Rubber Ducky" top mount car Antenna.	Adjustable split ball head kit, suits 25mm hole	Cable attaches at 90?, ideal for installations with limited space	1 section black rubber mast	Length 36cm	Cable Length: 127cm	12 Month Warranty		0.0000	16.8300	1	11.5000	3.0000	10.4000	5.0000	10.0000	1.0000		http://www.radioparts.com.au/Images/ProductImages/00163621.jpg					EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0.0000	0.2260	9317114864888	http://www.radioparts.com.au/product/00163621/-	<b>Universal "Rubber Ducky" top mount car antenna</b> <ul>  <li>Adjustable split ball head kit, suits 25mm hole</li> <li>Cable attaches at 90&#176, ideal for installations with limited space</li>  <li>1 section black rubber mast</li> <li>Length 36cm</li>  <li>Cable Length: 127cm</li>  <li>Packed in hang sell, full colour blister</li> <li>12 Month Warranty</li>  </ul>
00164032	AP122	UNIVERSAL CENTRE PILLAR AERIAL	CAR MOUNT AERPRO	AERPRO	AP122	Universal centre pillar mount - external, 3 section car antenna.	Popular model for early Japanese models	3 section stainless steel mast	Extends to 126cm	Cable Length: 127cm	12 Month Warranty			14.9900	12.4960	1	9.2000	2.0000	8.4000	3.0000	7.6000	0.0000		http://www.radioparts.com.au/Images/ProductImages/00164032.jpg					EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0.0000	0.1780	9317114864864	http://www.radioparts.com.au/product/00164032/-	<B>Universal centre pillar mount - external, 3 section car antenna</b>  <ul>  <li>Popular model for early Japanese models</li> <li>3 section stainless steel mast</li> <li>Extends to 126cm</li>  <li>Cable Length: 127cm</li>  <li>Packed in hang sell, full colour blister</li> <li>12 Month Warranty</li>  </ul>
00164096	AP120	UNIVERSAL OFFSET PILLAR AERIAL	CAR MOUNT AERPRO	AERPRO	AP120	Universal offset pillar mount car antenna.	Popular model for early Japanese models	3 section stainless steel mast	Extends to 126cm	Cable Length: 165cm	12 Month Warranty			0.0000	12.9910	1	8.9000	2.0000	8.5000	3.0000	8.2000	2.0000		http://www.radioparts.com.au/Images/ProductImages/00164096.jpg					EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0.0000	0.2070	9317114864819	http://www.radioparts.com.au/product/00164096/-	<b>Universal offset pillar mount car antenna</b> <ul>  <li>Popular model for early Japanese models</li> <li>3 section stainless steel mast</li> <li>Extends to 126cm</li>  <li>Cable Length: 165cm</li>  <li>Packed in hang sell, full colour blister</li> <li>12 Month Warranty</li>  </ul>
00164120	AP68	GUARD MOUNT LOCKDOWN AERIAL	SUITS FALCON CARS AERPRO	AERPRO	AP68	Guard mount, lockdown car antenna.	Suits Ford Falcon EA-ED (03/88-08/94)	5 section stainless steel mast	Top key lockdown with custom headkit	Extends to 98cm	Cable Length: 53cm	12 Month Warranty		0.0000	14.9490	1	12.9100	2.0000	12.2600	3.0000	12.0000	0.0000		http://www.radioparts.com.au/Images/ProductImages/00164120.jpg					EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0.0000	0.0000	9317114864826	http://www.radioparts.com.au/product/00164120/-	<b>Guard mount, lockdown car antenna</b> <ul>  <li>Suits Ford Falcon EA-ED (03/88-08/94)</li> <li>5 section stainless steel mast</li> <li>Top key lockdown with custom headkit</li> <li>Extends to 98cm</li>  <li>Cable Length: 53cm</li>  <li>Packed in hang sell, full colour blister </li> <li>12 Month Warranty</li>  </ul>
00164125	AP69	GUARD MOUNT LOCKDOWN AERIAL	SUITS FALCON CARS AERPRO	AERPRO	AP69	Guard mount, lockdown car antenna.	Suits Ford Falcon EF-EL (08/94-08/98)	5 section stainless steel mast	Top key lockdown	Extends to 100cm	Cable Length: 53cm	12 Month Warranty		0.0000	27.8960	1	22.0000	2.0000	20.0000	3.0000	18.0000	0.0000		http://www.radioparts.com.au/Images/ProductImages/00164125.jpg					EE2030	COMMUNICATIONS	MOBILE / CAR ANTENNAS	AM / FM / DAB RADIO	AM / FM / DAB RADIO	EE	EE20	EE2030	EE2030		0.0000	0.2130	9317114869562	http://www.radioparts.com.au/product/00164125/-	<B>Guard mount, lockdown car antenna</b> <ul>  <li>Suits Ford Falcon EF-EL (08/94-08/98)</li> <li>5 section stainless steel mast</li> <li>Top key lockdown</li>  <li>Extends to 100cm</li>  <li>Cable Length: 53cm</li>  <li>Packed in hang sell, full colour blister</li> <li>12 Month Warranty</li>  </ul>
